+05,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-5-28,27,19,12,17,13,7,100,72,28,1016,1015,1013,19,10,8,35,6,55,0.00,7,Rain-Thunderstorm,283
2015-5-29,29,19,10,19,14,10,100,74,26,1016,1015,1014,19,9,0,26,6,,0.00,6,Fog-Rain-Thunderstorm,272
2015-5-30,30,20,11,19,16,11,100,74,27,1019,1018,1016,19,9,3,26,5,,0.00,6,Fog-Thunderstorm,238
2015-5-31,32,23,14,20,17,11,100,70,18,1020,1019,1018,19,10,6,26,5,29,0.00,6,Fog-Rain-Thunderstorm,358
2015-6-1,31,22,13,22,17,12,100,74,22,1020,1019,1016,19,9,0,21,5,32,0.00,7,Fog-Rain-Thunderstorm,180
2015-6-2,28,21,14,20,16,12,100,76,27,1019,1018,1016,19,11,7,14,5,,0.00,6,Rain-Thunderstorm,238
2015-6-3,29,21,14,22,17,13,100,79,35,1017,1015,1012,19,9,1,26,6,26,0.00,6,Fog-Rain-Thunderstorm,163
2015-6-4,27,22,17,19,17,12,100,82,30,1012,1009,1006,10,9,2,18,6,40,0.00,6,Rain-Thunderstorm,189
2015-6-5,26,19,12,19,16,12,100,79,38,1008,1007,1005,19,10,6,32,8,50,0.00,5,Fog-Rain,251
2015-6-6,22,18,13,17,14,9,100,84,40,1009,1007,1004,19,10,2,29,11,40,0.00,7,Fog-Rain-Thunderstorm,330
2015-6-7,13,11,10,13,12,9,100,97,80,1006,1004,1002,19,8,1,29,19,35,0.00,8,Rain,303
2015-6-8,19,14,9,12,9,6,100,82,30,1007,1003,998,19,9,5,35,21,43,0.00,7,Rain,296
2015-6-9,14,11,9,10,8,5,94,81,57,1009,1003,998,19,10,7,43,29,64,0.00,6,Rain,279
2015-6-10,16,10,4,9,6,2,93,69,34,1012,1010,1009,19,11,10,32,16,43,0.00,6,,266
2015-6-11,17,11,4,7,5,1,100,66,24,1014,1013,1012,19,12,10,18,8,,0.00,6,,253
2015-6-12,19,12,4,9,6,2,100,66,23,1014,1011,1008,10,7,0,18,5,26,0.00,8,,214
2015-6-13,18,13,8,13,9,4,94,74,34,1007,1005,1004,19,10,10,40,11,,0.51,7,Rain,270
2015-6-14,19,13,7,8,6,-1,87,60,16,1010,1009,1007,10,10,10,35,19,47,0.00,5,,296
2015-6-15,25,17,9,19,14,3,100,77,32,1011,1008,1006,19,11,7,32,10,29,0.00,7,Rain,249
2015-6-16,30,21,12,20,16,9,100,72,19,1009,1007,1006,19,9,5,35,8,61,4.06,6,Fog,222
2015-6-17,32,24,18,21,16,10,88,62,17,1013,1011,1008,10,10,10,32,10,47,0.00,6,Rain,216
2015-6-18,33,23,14,20,13,6,100,55,11,1014,1012,1009,19,10,8,21,8,35,0.00,6,Fog-Rain,185
2015-6-19,27,22,17,21,17,8,88,67,21,1018,1014,1010,19,11,10,21,10,40,0.00,7,Rain,21
2015-6-20,28,22,17,22,19,14,100,82,48,1021,1020,1018,19,10,10,21,11,,0.00,7,,67
2015-6-21,30,24,18,23,20,16,100,82,38,1021,1020,1019,19,11,6,21,8,,0.00,7,Rain-Thunderstorm,133
2015-6-22,33,24,16,23,20,15,100,73,27,1020,1018,1015,19,7,0,11,3,,0.00,6,Fog-Thunderstorm,191
2015-6-23,34,25,16,23,18,13,100,67,18,1016,1014,1011,19,9,5,26,5,,0.00,6,Fog-Rain-Thunderstorm,206
2015-6-24,31,24,19,23,20,14,100,83,36,1017,1014,1012,10,9,3,21,8,32,0.00,7,Fog-Rain-Thunderstorm,33
2015-6-25,21,18,16,20,18,14,100,96,78,1015,1013,1010,19,10,3,21,13,,0.00,8,Rain-Thunderstorm,88
2015-6-26,18,16,14,18,16,13,100,96,78,1014,1012,1011,19,9,2,18,11,,0.00,8,Rain,35
